country,life,gdp
Bulgaria,74.36097561,13974.44925
Latvia,74.5804878,21508.40033
Romania,75.30487805,15692.30717
Lithuania,75.79268293,25078.74537
Hungary,76.01707317,18355.82781
Slovak Republic,77.06585366,21279.45892
Poland,77.30487805,18732.49773
Croatia,77.57560976,18673.17799
Estonia,77.94390244,28114.14318
Czechia,79.02926829,27226.61564
Greece,80.63658537,20867.26909
Germany,80.70560976,48717.99114
Austria,81.09268293,52084.6812
Finland,81.18780488,50734.71075
Slovenia,81.28292683,28439.3341
Denmark,81.30487805,67790.05399
Portugal,81.5804878,24515.26575
Belgium,81.69756098,49942.09064
Netherlands,81.71463415,57025.01246
Cyprus,81.889,32048.24805
France,82.22926829,40886.25327
Malta,82.7,34563.39663
Italy,82.9,35068.83597
Luxembourg,83.04634146,125006.0218
Ireland,83.05609756,103983.2913
Spain,83.08292683,29674.54429
Sweden,83.1097561,56299.50573
