year,value
1960,69.03760636
1961,69.4373543
1962,69.28127311
1963,69.64127047
1964,70.16091886
1965,70.27086513
1966,70.58235186
1967,70.5898442
1968,70.59593239
1969,70.42180243
1970,70.82235693
1971,70.96579801
1972,71.35053998
1973,71.46880377
1974,71.77990296
1975,71.79896674
1976,72.06914829
1977,72.3941776
1978,72.48511018
1979,72.76698494
1980,72.78960622
1981,73.12522963
1982,73.40334558
1983,73.44889921
1984,73.74048172
1985,73.81547331
1986,74.0715647
1987,74.32453373
1988,74.52677694
1989,74.65464948
1990,74.69732688
1991,74.80996076
1992,75.12689288
1993,75.25540134
1994,75.52573652
1995,75.67124376
1996,75.92402183
1997,76.24187547
1998,76.51124163
1999,76.74520019
2000,77.07531688
2001,77.42295017
2002,77.5310033
2003,77.589336
2004,78.1144999
2005,78.27142867
2006,78.66801004
2007,78.90181909
2008,79.12529641
2009,79.35763602
2010,79.63003371
2011,80.13874215
2012,80.15765949
2013,80.46479377
2014,80.8719824
2015,80.56843942
2016,80.95129748
2017,80.92820865
2018,81.028729
2019,81.31485796
2020,80.45086913
2021,80.31661323
2022,80.80262111
